path,y
cats_dogs/train/dogs/dog.342.jpg,1
cats_dogs/train/cats/cat.661.jpg,0
cats_dogs/train/cats/cat.516.jpg,0
cats_dogs/train/dogs/dog.938.jpg,1
cats_dogs/train/cats/cat.224.jpg,0
cats_dogs/train/cats/cat.252.jpg,0
cats_dogs/train/dogs/dog.201.jpg,1
cats_dogs/train/dogs/dog.896.jpg,1
cats_dogs/train/dogs/dog.982.jpg,1
cats_dogs/train/dogs/dog.874.jpg,1
cats_dogs/train/dogs/dog.914.jpg,1
cats_dogs/train/dogs/dog.752.jpg,1
cats_dogs/train/cats/cat.563.jpg,0
cats_dogs/train/dogs/dog.646.jpg,1
cats_dogs/train/cats/cat.497.jpg,0
cats_dogs/train/dogs/dog.774.jpg,1
cats_dogs/train/cats/cat.115.jpg,0
cats_dogs/train/dogs/dog.33.jpg,1
cats_dogs/train/dogs/dog.114.jpg,1
cats_dogs/train/dogs/dog.298.jpg,1
cats_dogs/train/dogs/dog.669.jpg,1
cats_dogs/train/dogs/dog.953.jpg,1
cats_dogs/train/cats/cat.263.jpg,0
cats_dogs/train/dogs/dog.233.jpg,1
cats_dogs/train/cats/cat.835.jpg,0
cats_dogs/train/cats/cat.641.jpg,0
cats_dogs/train/dogs/dog.929.jpg,1
cats_dogs/train/dogs/dog.199.jpg,1
cats_dogs/train/dogs/dog.79.jpg,1
cats_dogs/train/cats/cat.832.jpg,0
cats_dogs/train/cats/cat.503.jpg,0
cats_dogs/train/cats/cat.135.jpg,0
cats_dogs/train/cats/cat.887.jpg,0
cats_dogs/train/cats/cat.791.jpg,0
cats_dogs/train/cats/cat.355.jpg,0
cats_dogs/train/cats/cat.668.jpg,0
cats_dogs/train/dogs/dog.566.jpg,1
cats_dogs/train/cats/cat.876.jpg,0
cats_dogs/train/dogs/dog.540.jpg,1
cats_dogs/train/dogs/dog.257.jpg,1
cats_dogs/train/cats/cat.920.jpg,0
cats_dogs/train/cats/cat.309.jpg,0
cats_dogs/train/dogs/dog.594.jpg,1
cats_dogs/train/cats/cat.87.jpg,0
cats_dogs/train/dogs/dog.325.jpg,1
cats_dogs/train/cats/cat.53.jpg,0
cats_dogs/train/cats/cat.546.jpg,0
cats_dogs/train/dogs/dog.307.jpg,1
cats_dogs/train/cats/cat.163.jpg,0
cats_dogs/train/cats/cat.825.jpg,0
cats_dogs/train/cats/cat.619.jpg,0
cats_dogs/train/cats/cat.154.jpg,0
cats_dogs/train/cats/cat.524.jpg,0
cats_dogs/train/dogs/dog.496.jpg,1
cats_dogs/train/dogs/dog.338.jpg,1
cats_dogs/train/cats/cat.188.jpg,0
cats_dogs/train/dogs/dog.380.jpg,1
cats_dogs/train/dogs/dog.746.jpg,1
cats_dogs/train/dogs/dog.77.jpg,1
cats_dogs/train/dogs/dog.793.jpg,1
cats_dogs/train/dogs/dog.352.jpg,1
cats_dogs/train/dogs/dog.427.jpg,1
cats_dogs/train/dogs/dog.396.jpg,1
cats_dogs/train/dogs/dog.714.jpg,1
cats_dogs/train/cats/cat.912.jpg,0
cats_dogs/train/dogs/dog.91.jpg,1
cats_dogs/train/cats/cat.51.jpg,0
cats_dogs/train/dogs/dog.54.jpg,1
cats_dogs/train/cats/cat.785.jpg,0
cats_dogs/train/cats/cat.605.jpg,0
cats_dogs/train/cats/cat.772.jpg,0
cats_dogs/train/dogs/dog.487.jpg,1
cats_dogs/train/dogs/dog.271.jpg,1
cats_dogs/train/dogs/dog.696.jpg,1
cats_dogs/train/dogs/dog.952.jpg,1
cats_dogs/train/cats/cat.124.jpg,0
cats_dogs/train/dogs/dog.627.jpg,1
cats_dogs/train/cats/cat.470.jpg,0
cats_dogs/train/dogs/dog.282.jpg,1
cats_dogs/train/dogs/dog.979.jpg,1
cats_dogs/train/cats/cat.491.jpg,0
cats_dogs/train/cats/cat.284.jpg,0
cats_dogs/train/cats/cat.157.jpg,0
cats_dogs/train/dogs/dog.421.jpg,1
cats_dogs/train/dogs/dog.398.jpg,1
cats_dogs/train/dogs/dog.250.jpg,1
cats_dogs/train/dogs/dog.225.jpg,1
cats_dogs/train/cats/cat.45.jpg,0
cats_dogs/train/dogs/dog.916.jpg,1
cats_dogs/train/dogs/dog.162.jpg,1
cats_dogs/train/cats/cat.342.jpg,0
cats_dogs/train/cats/cat.277.jpg,0
cats_dogs/train/dogs/dog.482.jpg,1
cats_dogs/train/cats/cat.681.jpg,0
cats_dogs/train/dogs/dog.801.jpg,1
cats_dogs/train/dogs/dog.147.jpg,1
cats_dogs/train/dogs/dog.628.jpg,1
cats_dogs/train/dogs/dog.261.jpg,1
cats_dogs/train/cats/cat.766.jpg,0
cats_dogs/train/cats/cat.990.jpg,0
cats_dogs/train/cats/cat.324.jpg,0
cats_dogs/train/dogs/dog.857.jpg,1
cats_dogs/train/cats/cat.565.jpg,0
cats_dogs/train/dogs/dog.459.jpg,1
cats_dogs/train/cats/cat.534.jpg,0
cats_dogs/train/cats/cat.463.jpg,0
cats_dogs/train/cats/cat.813.jpg,0
cats_dogs/train/dogs/dog.926.jpg,1
cats_dogs/train/cats/cat.924.jpg,0
cats_dogs/train/cats/cat.478.jpg,0
cats_dogs/train/dogs/dog.944.jpg,1
cats_dogs/train/dogs/dog.408.jpg,1
cats_dogs/train/cats/cat.573.jpg,0
cats_dogs/train/dogs/dog.294.jpg,1
cats_dogs/train/dogs/dog.930.jpg,1
